ms7372,====================== NEW FLIGHT LOG INITIATED ==============================
ms7372,phase, T-clk, alt, alt-max, speed, speed-max, temp, temp max, bLaunch, bApogee, temp-raw, pressure, alt-raw, ADXL, adxl.x, adxl.y, adxl.z, adxl.avgZ, adxl.linZ, adxl.maxZ, adxl.minZ, adxl.vel, adxl.burnoutArm,adxl.burnout, adxl.apogee, LSM6D-A, lsm.x, lsm.y, lsm.z, lsm.avgZ, lsm.linZ, lsm.maxZ, lsm.minZ, lsm.vel, lsm.burnoutArm,lsm.burnout, lsm.apogee, LSM-Gyro,lsm.gX, lsm.gY, lsm.gZ, lsm.yaw, lsm.pitch, lsm.roll, lsm.tilt, lsm.tiltMax, EVENTS, voltage, launch, burnout, apogee, fore, aft, sustainer, pyro-sep, pyro-sus, pyro-main, pyro-drogue, contMain, contDrogue, contSep, contSust, StagArmed, CPU temp, CPU tempMax, ERRORS, SampleLoop, LoggingLoop, ADXL, LSM, MS56, GPS, Flash, voltage, CPUtemp, I2C,crash
ms11699,STARTUP,0.000,0,0,-1,0,96,96,0,0,36.08403015,943.71710208,595.6425,ADXL:,-756,-54,-256,39,-243,446,-243,0,0,0,0,LSM-A:,980,-29,38,-17,-19,0,-26,0,0,0,0,LSM-G,-0.0007,-0.0002,-0.0004,-2,-1,-0,2.2,0.0,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,117,117,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
ms11965,Main Continuity Closed
ms11965,Drogue Continuity Closed
05/20/2023-13:48:57.929,WAITING,0.000,0,0,0,0,98,98,0,0,36.86944200,943.69525144,595.8353,ADXL:,-953,-4,-354,0,-83,0,0,0,0,0,0,LSM-A:,978,-31,34,-1,-5,0,0,0,0,0,0,LSM-G,0.0006,0.0002,0.0008,-1,-1,0,1.7,1.7,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,123,123,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:48:58.209,STARTUP Phase Complete - Moving to Waiting Phase - All OK
05/20/2023-13:48:58.209,Main Continuity Closed
05/20/2023-13:48:58.209,Drogue Continuity Closed
05/20/2023-13:49:03.210,WAITING,0.000,0,0,0,0,98,98,0,0,36.96178056,943.63476564,596.3691,ADXL:,-1151,44,-305,1,114,360,-428,0,0,0,0,LSM-A:,986,-27,33,-1,2,11,-9,0,0,0,0,LSM-G,-0.0003,0.0000,0.0000,-1,-1,0,1.8,2.5,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,125,125,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:49:08.541,WAITING,0.000,0,11,0,12,98,98,0,0,37.04965210,943.67559816,596.0071,ADXL:,-1052,-103,-256,1,15,508,-576,0,0,0,0,LSM-A:,980,-29,37,-1,-3,11,-11,0,0,0,0,LSM-G,0.0003,0.0004,0.0000,-1,-1,0,1.7,2.5,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,125,125,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:49:13.819,WAITING,0.000,0,11,0,12,98,98,0,0,37.14287186,943.65380860,596.2000,ADXL:,-904,-4,-256,1,-133,458,-429,0,0,0,0,LSM-A:,983,-31,43,-1,-0,11,-11,0,0,0,0,LSM-G,-0.0009,-0.0001,-0.0004,-1,-1,-0,1.9,2.5,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,125,125,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:49:19.119,WAITING,0.000,0,11,0,12,99,99,0,0,37.23805236,943.68603512,595.9172,ADXL:,-1003,-54,-256,2,-34,458,-527,0,0,0,0,LSM-A:,986,-31,38,-1,2,11,-13,0,0,0,0,LSM-G,-0.0008,-0.0005,-0.0006,-2,-1,-0,2.0,2.5,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,125,125,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:49:24.415,WAITING,0.000,0,11,0,12,99,99,0,0,37.33187866,943.63702392,596.3480,ADXL:,-1052,44,-305,-1,13,555,-380,0,0,0,0,LSM-A:,983,-32,34,-1,-0,11,-13,0,0,0,0,LSM-G,-0.0013,-0.0005,-0.0006,-2,-1,-0,2.4,2.5,EVENTS:,91,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,125,125,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:49:29.703,WAITING,0.000,0,11,0,12,99,99,0,0,37.42625044,943.68072512,595.9622,ADXL:,-1101,-103,-305,-1,62,555,-528,0,0,0,0,LSM-A:,978,-22,33,-1,-5,11,-13,0,0,0,0,LSM-G,-0.0011,-0.0001,-0.0007,-2,-1,-0,2.2,2.6,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,126,126,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:49:35.035,WAITING,0.000,0,11,0,12,99,99,0,0,37.52332688,943.62017824,596.4959,ADXL:,-1101,-54,-354,-0,65,558,-427,0,0,0,0,LSM-A:,979,-28,46,-1,-4,11,-13,0,0,0,0,LSM-G,-0.0011,0.0000,-0.0004,-1,-1,-0,1.7,3.0,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,126,126,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:49:40.322,WAITING,0.000,0,11,0,12,99,99,0,0,37.61552812,943.59826660,596.6888,ADXL:,-1101,44,-256,0,65,608,-427,0,0,0,0,LSM-A:,988,-29,39,-0,5,11,-13,0,0,0,0,LSM-G,-0.0007,-0.0001,-0.0004,-2,-1,-0,2.8,3.0,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,126,126,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:49:45.612,WAITING,0.000,0,11,0,12,99,99,0,0,37.70624160,943.66101076,596.1365,ADXL:,-1003,-54,-256,1,-32,460,-377,0,0,0,0,LSM-A:,981,-30,37,-0,-1,11,-13,0,0,0,0,LSM-G,-0.0001,-0.0002,0.0000,-2,-1,0,2.2,3.0,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,126,127,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:49:50.903,WAITING,0.000,0,11,0,12,100,100,0,0,37.79600528,943.64062500,596.3162,ADXL:,-953,-103,-453,1,-82,509,-427,0,0,0,0,LSM-A:,985,-30,33,-0,2,11,-13,0,0,0,0,LSM-G,-0.0002,-0.0002,-0.0003,-2,-1,-0,2.2,3.0,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,126,127,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:49:56.195,WAITING,0.000,0,11,0,12,100,100,0,0,37.88184736,943.60803224,596.6043,ADXL:,-1003,-4,-305,-0,-33,508,-378,0,0,0,0,LSM-A:,986,-32,33,-0,3,11,-13,0,0,0,0,LSM-G,0.0004,0.0000,0.0000,-2,-1,-0,2.2,3.0,EVENTS:,98,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,127,127,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:50:01.480,WAITING,0.000,0,11,0,12,100,100,0,0,37.96897128,943.60369872,596.6412,ADXL:,-953,-4,-305,-3,-83,508,-428,0,0,0,0,LSM-A:,983,-28,36,-0,-0,12,-13,0,0,0,0,LSM-G,0.0011,0.0003,0.0003,-1,-1,0,1.8,3.0,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,127,127,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:50:06.769,WAITING,0.000,0,11,0,12,100,100,0,0,38.05988693,943.63226320,596.3902,ADXL:,-1101,-4,-354,-0,67,363,-375,0,0,0,0,LSM-A:,981,-27,37,-1,-2,12,-13,0,0,0,0,LSM-G,0.0007,-0.0000,0.0003,-1,-1,0,1.8,3.0,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,127,128,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:50:12.053,WAITING,0.000,0,11,0,12,100,100,0,0,38.14146423,943.64611816,596.2687,ADXL:,-1052,-4,-305,-3,18,412,-425,0,0,0,0,LSM-A:,983,-25,37,-1,-0,12,-13,0,0,0,0,LSM-G,0.0009,0.0001,0.0003,-1,-1,0,1.7,3.0,EVENTS:,99,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,128,128,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:50:17.361,WAITING,0.000,0,11,0,12,100,100,0,0,38.22804642,943.64447020,596.2819,ADXL:,-1052,-54,-354,2,22,466,-322,0,0,0,0,LSM-A:,978,-30,38,-1,-5,12,-13,0,0,0,0,LSM-G,0.0011,0.0001,0.0004,-1,-1,0,1.9,3.0,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,128,128,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:50:22.663,WAITING,0.000,0,11,0,12,100,100,0,0,38.31645966,943.60888672,596.5963,ADXL:,-1003,-4,-404,3,-26,515,-371,0,0,0,0,LSM-A:,981,-26,33,-0,-1,12,-13,0,0,0,0,LSM-G,0.0011,0.0005,0.0006,-1,-1,0,1.7,3.0,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,128,128,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
